id	taxonID	identifier	parentNameUsageID	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	modified	scientificName	taxonRank	references
1034928	https://www.inaturalist.org/taxa/1034928	https://www.inaturalist.org/taxa/1034928	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	leonis	NA	2020-02-13T04:40:49Z	Vaccinium leonis	species	NA
1034929	https://www.inaturalist.org/taxa/1034929	https://www.inaturalist.org/taxa/1034929	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	laurifolium	NA	2020-02-13T04:40:49Z	Vaccinium laurifolium	species	NA
1034930	https://www.inaturalist.org/taxa/1034930	https://www.inaturalist.org/taxa/1034930	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	lamellatum	NA	2020-02-13T04:40:50Z	Vaccinium lamellatum	species	NA
1034931	https://www.inaturalist.org/taxa/1034931	https://www.inaturalist.org/taxa/1034931	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	lanigerum	NA	2020-02-13T04:40:51Z	Vaccinium lanigerum	species	NA
1034932	https://www.inaturalist.org/taxa/1034932	https://www.inaturalist.org/taxa/1034932	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	lamprophyllum	NA	2020-02-13T04:40:51Z	Vaccinium lamprophyllum	species	NA
1034933	https://www.inaturalist.org/taxa/1034933	https://www.inaturalist.org/taxa/1034933	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	imbricans	NA	2020-02-13T04:40:52Z	Vaccinium imbricans	species	NA
1034934	https://www.inaturalist.org/taxa/1034934	https://www.inaturalist.org/taxa/1034934	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	lageniforme	NA	2020-02-13T04:40:52Z	Vaccinium lageniforme	species	NA
1034935	https://www.inaturalist.org/taxa/1034935	https://www.inaturalist.org/taxa/1034935	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	halconense	NA	2020-02-13T04:40:53Z	Vaccinium halconense	species	NA
1034936	https://www.inaturalist.org/taxa/1034936	https://www.inaturalist.org/taxa/1034936	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	haematochroum	NA	2020-02-13T04:40:53Z	Vaccinium haematochroum	species	NA
1034937	https://www.inaturalist.org/taxa/1034937	https://www.inaturalist.org/taxa/1034937	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	haitangense	NA	2020-02-13T04:40:54Z	Vaccinium haitangense	species	NA
1034938	https://www.inaturalist.org/taxa/1034938	https://www.inaturalist.org/taxa/1034938	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	hainanense	NA	2020-02-13T04:40:55Z	Vaccinium hainanense	species	NA
1034939	https://www.inaturalist.org/taxa/1034939	https://www.inaturalist.org/taxa/1034939	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	goodenoughii	NA	2020-02-13T04:40:55Z	Vaccinium goodenoughii	species	NA
1034940	https://www.inaturalist.org/taxa/1034940	https://www.inaturalist.org/taxa/1034940	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	gracile	NA	2020-02-13T04:40:56Z	Vaccinium gracile	species	NA
1034941	https://www.inaturalist.org/taxa/1034941	https://www.inaturalist.org/taxa/1034941	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	gracilipes	NA	2020-02-13T04:40:56Z	Vaccinium gracilipes	species	NA
1034942	https://www.inaturalist.org/taxa/1034942	https://www.inaturalist.org/taxa/1034942	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	habbemae	NA	2020-02-13T04:40:57Z	Vaccinium habbemae	species	NA
1034943	https://www.inaturalist.org/taxa/1034943	https://www.inaturalist.org/taxa/1034943	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	grandibracteatum	NA	2020-02-13T04:40:57Z	Vaccinium grandibracteatum	species	NA
1034944	https://www.inaturalist.org/taxa/1034944	https://www.inaturalist.org/taxa/1034944	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	guangdongense	NA	2020-02-13T04:40:58Z	Vaccinium guangdongense	species	NA
1034945	https://www.inaturalist.org/taxa/1034945	https://www.inaturalist.org/taxa/1034945	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	griffithianum	NA	2020-02-13T04:40:58Z	Vaccinium griffithianum	species	NA
1034946	https://www.inaturalist.org/taxa/1034946	https://www.inaturalist.org/taxa/1034946	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	hatamense	NA	2020-02-13T04:40:59Z	Vaccinium hatamense	species	NA
1034947	https://www.inaturalist.org/taxa/1034947	https://www.inaturalist.org/taxa/1034947	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	gracillimum	NA	2020-02-13T04:41:00Z	Vaccinium gracillimum	species	NA
1034948	https://www.inaturalist.org/taxa/1034948	https://www.inaturalist.org/taxa/1034948	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	hooglandii	NA	2020-02-13T04:41:00Z	Vaccinium hooglandii	species	NA
1034949	https://www.inaturalist.org/taxa/1034949	https://www.inaturalist.org/taxa/1034949	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	horizontale	NA	2020-02-13T04:41:01Z	Vaccinium horizontale	species	NA
1034950	https://www.inaturalist.org/taxa/1034950	https://www.inaturalist.org/taxa/1034950	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	igneum	NA	2020-02-13T04:41:01Z	Vaccinium igneum	species	NA
1034951	https://www.inaturalist.org/taxa/1034951	https://www.inaturalist.org/taxa/1034951	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	hellwigianum	NA	2020-02-13T04:41:02Z	Vaccinium hellwigianum	species	NA
1034953	https://www.inaturalist.org/taxa/1034953	https://www.inaturalist.org/taxa/1034953	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	henryi	NA	2020-02-13T04:41:03Z	Vaccinium henryi	species	NA
1034954	https://www.inaturalist.org/taxa/1034954	https://www.inaturalist.org/taxa/1034954	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	hiepii	NA	2020-02-13T04:41:03Z	Vaccinium hiepii	species	NA
1034955	https://www.inaturalist.org/taxa/1034955	https://www.inaturalist.org/taxa/1034955	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	hispidulissimum	NA	2020-02-13T04:41:04Z	Vaccinium hispidulissimum	species	NA
1034956	https://www.inaturalist.org/taxa/1034956	https://www.inaturalist.org/taxa/1034956	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	leptomorphum	NA	2020-02-13T04:41:05Z	Vaccinium leptomorphum	species	NA
1034957	https://www.inaturalist.org/taxa/1034957	https://www.inaturalist.org/taxa/1034957	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	miquelii	NA	2020-02-13T04:41:06Z	Vaccinium miquelii	species	NA
1034959	https://www.inaturalist.org/taxa/1034959	https://www.inaturalist.org/taxa/1034959	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	minusculum	NA	2020-02-13T04:41:07Z	Vaccinium minusculum	species	NA
1034960	https://www.inaturalist.org/taxa/1034960	https://www.inaturalist.org/taxa/1034960	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	minuticalcaratum	NA	2020-02-13T04:41:07Z	Vaccinium minuticalcaratum	species	NA
1034961	https://www.inaturalist.org/taxa/1034961	https://www.inaturalist.org/taxa/1034961	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	monetarium	NA	2020-02-13T04:41:08Z	Vaccinium monetarium	species	NA
1034962	https://www.inaturalist.org/taxa/1034962	https://www.inaturalist.org/taxa/1034962	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	mjoebergii	NA	2020-02-13T04:41:08Z	Vaccinium mjoebergii	species	NA
1034963	https://www.inaturalist.org/taxa/1034963	https://www.inaturalist.org/taxa/1034963	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	modestum	NA	2020-02-13T04:41:09Z	Vaccinium modestum	species	NA
1034964	https://www.inaturalist.org/taxa/1034964	https://www.inaturalist.org/taxa/1034964	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	molle	NA	2020-02-13T04:41:09Z	Vaccinium molle	species	NA
1034966	https://www.inaturalist.org/taxa/1034966	https://www.inaturalist.org/taxa/1034966	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	myrsinoides	NA	2020-02-13T04:41:10Z	Vaccinium myrsinoides	species	NA
1034967	https://www.inaturalist.org/taxa/1034967	https://www.inaturalist.org/taxa/1034967	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	myrtoides	NA	2020-02-13T04:41:11Z	Vaccinium myrtoides	species	NA
1034968	https://www.inaturalist.org/taxa/1034968	https://www.inaturalist.org/taxa/1034968	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	monteverdense	NA	2020-02-13T04:41:12Z	Vaccinium monteverdense	species	NA
1034969	https://www.inaturalist.org/taxa/1034969	https://www.inaturalist.org/taxa/1034969	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	montis-ericae	NA	2020-02-13T04:41:12Z	Vaccinium montis-ericae	species	NA
1034970	https://www.inaturalist.org/taxa/1034970	https://www.inaturalist.org/taxa/1034970	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	morobense	NA	2020-02-13T04:41:13Z	Vaccinium morobense	species	NA
1034971	https://www.inaturalist.org/taxa/1034971	https://www.inaturalist.org/taxa/1034971	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	moupinense	NA	2020-02-13T04:41:13Z	Vaccinium moupinense	species	NA
1034972	https://www.inaturalist.org/taxa/1034972	https://www.inaturalist.org/taxa/1034972	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	muriculatum	NA	2020-02-13T04:41:14Z	Vaccinium muriculatum	species	NA
1034973	https://www.inaturalist.org/taxa/1034973	https://www.inaturalist.org/taxa/1034973	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	longicaudatum	NA	2020-02-13T04:41:14Z	Vaccinium longicaudatum	species	NA
1034974	https://www.inaturalist.org/taxa/1034974	https://www.inaturalist.org/taxa/1034974	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	longisepalum	NA	2020-02-13T04:41:15Z	Vaccinium longisepalum	species	NA
1034975	https://www.inaturalist.org/taxa/1034975	https://www.inaturalist.org/taxa/1034975	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	loranthifolium	NA	2020-02-13T04:41:15Z	Vaccinium loranthifolium	species	NA
1034976	https://www.inaturalist.org/taxa/1034976	https://www.inaturalist.org/taxa/1034976	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	lorentzii	NA	2020-02-13T04:41:16Z	Vaccinium lorentzii	species	NA
1034977	https://www.inaturalist.org/taxa/1034977	https://www.inaturalist.org/taxa/1034977	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	lucidum	NA	2020-02-13T04:41:17Z	Vaccinium lucidum	species	NA
