#BaseNum	Read1_linear	Read1_log
533	9.000	9.000
534	21.000	21.000
535	8.000	8.000
536	9.000	9.000
537	12.000	12.000
538	2.000	2.000
539	12.000	12.000
540	4.000	4.000
541	2.000	2.000
542	3.000	3.000
543	2.000	2.000
544	2.000	2.000
545	7.000	7.000
546	7.000	7.000
547	2.000	2.000
548	2.000	2.000
549	2.000	2.000
550	2.000	2.000
551	2.000	2.000
552	2.000	2.000
553	2.000	2.000
554	2.000	2.000
555	2.000	2.000
556	2.000	2.000
557	2.000	2.000
558	2.000	2.000
559	2.000	2.000
560	2.000	2.000
561	2.000	2.000
562	2.000	2.000
563	4.000	4.000
564	4.000	4.000
565	3.000	3.000
566	3.000	3.000
567	2.000	2.000
568	2.000	2.000
569	3.000	3.000
570	2.000	2.000
571	2.000	2.000
572	2.000	2.000
573	2.000	2.000
574	2.000	2.000
575	2.000	2.000
576	2.000	2.000
577	2.000	2.000
578	2.000	2.000
579	2.000	2.000
580	2.000	2.000
581	2.000	2.000
582	2.000	2.000
583	2.000	2.000
584	2.000	2.000
585	2.000	2.000
586	2.000	2.000
587	2.000	2.000
588	2.000	2.000
589	2.000	2.000
590	2.000	2.000
591	2.000	2.000
592	2.000	2.000
593	4.000	4.000
594	13.000	13.000
595	9.000	9.000
596	2.000	2.000
597	2.000	2.000
598	2.000	2.000
599	2.000	2.000
600	2.000	2.000
601	2.000	2.000
602	2.000	2.000
603	2.000	2.000
604	2.000	2.000
605	2.000	2.000
606	7.000	7.000
607	7.000	7.000
608	4.000	4.000
609	4.000	4.000
610	2.000	2.000
611	2.000	2.000
612	8.000	8.000
613	2.000	2.000
614	2.000	2.000
615	2.000	2.000
616	2.000	2.000
617	2.000	2.000
618	2.000	2.000
619	2.000	2.000
620	2.000	2.000
621	2.000	2.000
622	3.000	3.000
623	3.000	3.000
624	2.000	2.000
625	6.000	6.000
626	6.000	6.000
627	2.000	2.000
628	2.000	2.000
629	2.000	2.000
630	2.000	2.000
631	2.000	2.000
632	2.000	2.000
633	2.000	2.000
634	2.000	2.000
635	2.000	2.000
636	2.000	2.000
637	3.000	3.000
638	3.000	3.000
639	2.000	2.000
640	2.000	2.000
641	4.000	4.000
642	2.000	2.000
643	2.000	2.000
644	2.000	2.000
645	2.000	2.000
646	3.000	3.000
647	7.000	7.000
648	4.000	4.000
649	4.000	4.000
650	4.000	4.000
651	2.000	2.000
652	2.000	2.000
653	2.000	2.000
654	2.000	2.000
655	3.000	3.000
656	2.000	2.000
657	2.000	2.000
658	2.000	2.000
659	11.000	11.000
660	4.000	4.000
661	2.000	2.000
662	2.000	2.000
663	2.000	2.000
664	2.000	2.000
665	2.000	2.000
666	5.000	5.000
667	2.000	2.000
668	2.000	2.000
669	6.000	6.000
670	5.000	5.000
671	2.000	2.000
672	2.000	2.000
673	2.000	2.000
674	2.000	2.000
675	2.000	2.000
676	2.000	2.000
677	2.000	2.000
678	2.000	2.000
679	2.000	2.000
680	2.000	2.000
681	2.000	2.000
682	2.000	2.000
683	2.000	2.000
684	8.000	8.000
685	2.000	2.000
686	2.000	2.000
687	4.000	4.000
688	2.000	2.000
689	2.000	2.000
690	2.000	2.000
691	2.000	2.000
692	4.000	4.000
693	2.000	2.000
694	2.000	2.000
695	2.000	2.000
696	6.000	6.000
697	2.000	2.000
698	3.000	3.000
699	6.000	6.000
700	3.000	3.000
701	2.000	2.000
702	7.000	7.000
703	9.000	9.000
704	2.000	2.000
705	2.000	2.000
706	2.000	2.000
707	2.000	2.000
708	2.000	2.000
709	2.000	2.000
710	2.000	2.000
